Label,Message
ham,Hey are you coming today?
spam,Congratulations! You won a free iPhone.
ham,Let's meet after class.
spam,Claim your Rs.50000 cash prize now.
ham,Can you send me the notes?
spam,Exclusive offer! Click here to win.
ham,See you tomorrow.
spam,You have been selected for a lottery.
ham,Call me when you reach home.
spam,Limited time offer. Buy now and save big.
ham,Are we still on for lunch at 1 PM?
spam,URGENT! Your mobile number has won a £20000 bonus prize. Call 09061701461 to claim.
ham,I will be a bit late, please start the meeting without me.
spam,Free entry in a weekly competition to win an iPad. Text WIN to 80082.
ham,Can you please review the document I sent earlier?
spam,Dear customer, your account has been credited with Rs.10000. Click here to withdraw.
ham,Happy Birthday! Hope you have a wonderful day ahead.
spam,Get a guaranteed personal loan up to 5 Lakhs with zero documentation. Apply now.
ham,Let me know when you are free for a quick call.
spam,Double your money in just 7 days! Invest now before the offer ends.
ham,Hey, did you finish the assignment that was due today?
spam,Congratulations! You have been selected for a work-from-home job earning $500 daily.
ham,Please bring some milk on your way back home.
spam,Your Netflix subscription will expire today. Renew now to avoid interruption: bit.ly/renew
ham,I'm driving right now, will text you later.
spam,Xmas Offer! Buy 1 Get 1 Free on all branded shoes. Click link to shop.
ham,Don't forget to lock the back door before you sleep.
spam,You have 1 unread important notification regarding your tax refund. Check here.
ham,Thanks for the help yesterday, I really appreciate it.
spam,Win a brand new car! Just reply to this message with your name and age.
ham,Where are you? Everyone is waiting for you at the cafe.
spam,Final Reminder: Your electricity bill is unpaid. Pay now to avoid disconnection.
ham,Yes, I received the file. I will check it by evening.
spam,Get 80% OFF on all online courses. Limited slots available! Enroll today.
ham,Could you please share the contact number of the plumber?
spam,Dear User, your SIM card will be blocked within 24 hours. Call customer care now.
ham,The weather is amazing today, let's go for a walk.
spam,Earn cash by simply watching videos. No skills required. Click to start.
ham,I have successfully submitted the internship report.
spam,Congratulations! Your profile was shortlisted for a free holiday trip to Goa.
